scenario,case_id,symbol,signal_date,entry_time_utc,entry_equity,margin,margin_fraction_of_equity,notional,xsec_score,xsec_rank_pct,entry_fee,exit_pnl_after_exit_fee,exit_events,exit_time_utc,total_net_pnl,return_on_allocated_margin
classifier_k5_invvol_tophalf,358-XNY-2026-06-04,XNY,2026-06-04,2026-06-05T00:00:00+00:00,0.8569762870220475,0.10138721262818336,0.11830807242111584,0.2027744252563667,0.07020150813320734,1.0,0.0004055488505127334,-0.019714692480739596,1,2026-06-05T06:20:00+00:00,-0.020120241331252328,-0.19844949683190477
classifier_k5_invvol_tophalf,360-PHA-2026-06-06,PHA,2026-06-06,2026-06-07T00:00:00+00:00,0.8261062590955364,0.12736655592547122,0.15417696515811255,0.25473311185094244,0.08400416432503756,1.0,0.0005094662237018849,0.04994339601060598,1,2026-06-21T00:00:00+00:00,0.0494339297869041,0.3881233140655107
classifier_k5_invvol_tophalf,359-BLUR-2026-06-06,BLUR,2026-06-06,2026-06-07T00:00:00+00:00,0.8261062590955364,0.1403108216983454,0.16984597338841728,0.2806216433966908,-0.006154912615883664,0.4,0.0005612432867933817,-0.009533238140613453,2,2026-06-18T07:45:00+00:00,-0.010094481427406835,-0.07194371257485033
classifier_k5_invvol_tophalf,362-RED-2026-06-06,RED,2026-06-06,2026-06-07T00:00:00+00:00,0.8261062590955364,0.12682411391142848,0.1535203401682031,0.25364822782285695,0.029286302612184355,0.8,0.0005072964556457139,0.04727540320857868,1,2026-06-21T00:00:00+00:00,0.04676810675293297,0.3687635206786851
classifier_k5_invvol_tophalf,365-NXPC-2026-06-07,NXPC,2026-06-07,2026-06-08T00:00:00+00:00,0.8578407398259722,0.12270717406521361,0.14304190552911591,0.24541434813042723,0.00011978539362387567,1.0,0.0004908286962608544,-0.003918275829038529,2,2026-06-16T15:40:00+00:00,-0.0044091045252993835,-0.03593192133131624
classifier_k5_invvol_tophalf,366-FIDA-2026-06-08,FIDA,2026-06-08,2026-06-09T00:00:00+00:00,0.8767910496148009,0.09208650738176109,0.10502674202960591,0.18417301476352219,0.00011978539362387567,1.0,0.00036834602952704436,-0.013655673442394848,2,2026-06-10T17:45:00+00:00,-0.014024019471921893,-0.15229179464677503
classifier_k5_invvol_tophalf,371-USUAL-2026-06-10,USUAL,2026-06-10,2026-06-11T00:00:00+00:00,0.8311054475831172,0.1497218881419563,0.18014788445600088,0.2994437762839126,0.09297256767321437,1.0,0.0005988875525678253,-0.006333650875770599,2,2026-06-24T16:05:00+00:00,-0.006932538428338424,-0.04630277185501063
classifier_k5_invvol_tophalf,383-TA-2026-06-16,TA,2026-06-16,2026-06-17T00:00:00+00:00,0.9156942565135971,0.1185918565028948,0.12951032034908677,0.2371837130057896,0.17772149290152714,1.0,0.0004743674260115792,-0.0035046042984113717,2,2026-06-27T19:40:00+00:00,-0.003978971724422951,-0.03355181242420153
classifier_k5_invvol_tophalf,389-FLOCK-2026-06-18,FLOCK,2026-06-18,2026-06-19T00:00:00+00:00,0.8768755265703322,0.1356034809030969,0.1546439338243071,0.2712069618061938,0.00011978539362387567,1.0,0.0005424139236123876,-0.02606733552525451,1,2026-06-23T08:20:00+00:00,-0.026609749448866897,-0.1962320529801325
classifier_k5_invvol_tophalf,394-PHA-2026-06-20,PHA,2026-06-20,2026-06-21T00:00:00+00:00,0.9170340889125514,0.16618619048846023,0.1812213880571541,0.33237238097692046,-0.10145195752882472,0.0,0.0006647447619538409,-0.027329345743864294,1,2026-06-24T17:50:00+00:00,-0.027994090505818137,-0.1684501607717039
