case_id,symbol,signal_date,entry_date,executed_independent,executed_shared,right_censored_mark,target_return_2x,profitable,f7c_share,flow_to_signal_volume,flow_to_median20_volume,flow_to_prior7_volume,rank_pct,signal_volume_ratio20,return_3d,return_7d,return_14d,return_30d,recent_7d_runup,distance_20d_high,recent_5x_volume,prior7_max_volume_ratio,signal_day_return,signal_range_pct,market_median_return_7d,market_positive_breadth_7d,market_median_return_30d,market_positive_breadth_30d,available_history_days_from_2025
157-FLOCK-2026-03-14,FLOCK,2026-03-14,2026-03-15,True,False,False,0.04054891696750927,1,0.0010187438143552025,0.04567517417565776,0.021923175965932365,0.004154912034131062,0.05917159763313609,0.47998012840892806,-0.0005413208228075561,-0.02258690665254981,-0.10459101196249587,-0.12357594936708871,0.06334921475207356,-0.26974291364535263,0,1.4147736888884175,-0.00734767025089611,0.040315191497159564,0.050728277247614306,0.7928994082840237,-0.042675420599097236,0.3668639053254438,186
158-NAORIS-2026-03-15,NAORIS,2026-03-15,2026-03-16,True,False,False,-0.17719896325659382,0,0.007860568724856638,0.08906071642664601,0.09996644475213558,0.0031827040776353575,0.011834319526627219,1.122452735201967,0.15927169878027225,0.8899135446685877,1.065511811023622,0.9350840956034225,1.4769452449567724,-0.23699825479930192,1,8.821729815219282,-0.07516570300380765,0.11773940345368894,0.07416879795396425,0.8875739644970414,-0.06370656370656369,0.33727810650887574,227
159-RIVER-2026-03-16,RIVER,2026-03-16,2026-03-17,True,False,False,-0.17271754156547725,0,0.0034021226597801273,4.757855646299998e-06,4.988572873565238e-06,6.917474310797033e-07,0.029585798816568046,1.0484918510389571,0.06506167926780737,0.8067673614041007,0.4308052121617105,0.46828498937118557,1.1964391190616825,-0.17741067998463322,0,1.4491327386055004,-0.06428352925752745,0.2648202137998057,0.09185667752443005,0.893491124260355,-0.06696366420715594,0.33136094674556216,150
160-REZ-2026-03-16,REZ,2026-03-16,2026-03-17,False,False,False,,0,0.003073288309826804,0.0006015376422902652,0.03052672240702472,0.00039204469385231667,0.03550295857988166,50.747817361518315,0.1901364764267992,0.18903005887821522,0.3708467309753485,0.21347248576850109,0.5082119615742176,-0.21162934045613313,1,72.69078289487963,-0.07318840579710129,0.15268411114108438,0.09185667752443005,0.893491124260355,-0.06696366420715594,0.33136094674556216,438
161-XVS-2026-03-16,XVS,2026-03-16,2026-03-17,True,False,False,-0.1695367441860466,0,0.0026314732632788745,0.08626624415241581,0.3019048313031114,0.022270352981815338,0.047337278106508875,3.499686746182016,0.08070997990622897,0.10665294924554192,0.08143431635388731,0.09315718157181574,0.13786008230452684,-0.027426160337552852,1,6.01715557105261,0.038622465400707906,0.07205169628432961,0.09185667752443005,0.893491124260355,-0.06696366420715594,0.33136094674556216,438
162-C98-2026-03-16,C98,2026-03-16,2026-03-17,True,False,False,-0.16609900990099,0,0.001243103242771127,0.004174720615266336,0.0017907102217793183,0.00030561115914837396,0.08284023668639054,0.4289413320812309,0.04467353951890041,0.24081632653061225,0.18287937743190663,-0.061728395061728336,0.2693877551020407,-0.022508038585209,0,1.0590033053991117,0.04827586206896539,0.0625,0.09185667752443005,0.893491124260355,-0.06696366420715594,0.33136094674556216,438
163-ANIME-2026-03-17,ANIME,2026-03-17,2026-03-18,True,False,False,-0.16919206717884586,0,0.013008679853615574,0.0009310169369798504,0.09140228993864873,0.012975945008103625,0.005917159763313609,98.17468008170823,0.19803040034253927,0.2266549758877685,0.19190628328008508,-0.00709723207948898,0.5651030249890399,-0.21624649859943967,0,2.7793822243151673,0.15357658214801062,0.47459727385377937,0.07800054929964295,0.7988165680473372,-0.018115942028985477,0.44970414201183434,417
164-TOSHI-2026-03-17,TOSHI,2026-03-17,2026-03-18,True,False,False,-0.1717973094170404,0,0.0013063093806765728,0.046285030910737615,0.03858257792825663,0.0036030781128458147,0.07692307692307693,0.8335865217993385,0.03815728245695671,0.06440839694656497,0.09793307086614167,-0.00712060525144631,0.15219465648854946,-0.07619047619047614,0,3.6353948432472936,-0.016313932980599688,0.05454545454545445,0.07800054929964295,0.7988165680473372,-0.018115942028985477,0.44970414201183434,181
165-AIXBT-2026-03-18,AIXBT,2026-03-18,2026-03-19,True,True,False,-0.1740629825274279,0,0.0018877690835313204,0.0031697500564573265,0.0019003436807047487,0.0003449953060591889,0.0650887573964497,0.5995247722555983,-0.0424289606850915,-0.08685968819599099,-0.16269571136827776,0.12844036697247718,0.05827765404602836,-0.2531876138433514,0,1.2731262575820517,-0.06142693628386109,0.11627906976744184,0.016122689736531637,0.6272189349112426,-0.07573916565411087,0.28994082840236685,440
166-NIL-2026-03-19,NIL,2026-03-19,2026-03-20,True,False,False,-0.12247340980187686,0,0.010171324350772741,0.333046195723424,0.1761861730460349,0.02097470628575001,0.011834319526627219,0.5290142187732645,-0.16504178272980496,-0.027969193352249677,-0.07963922471694485,-0.14707451538324734,0.22152411836238328,-0.20424755267960837,0,2.3104333800490764,-0.06855700135948728,0.0868282402528977,-0.016538688718251593,0.40236686390532544,-0.08479393652297484,0.27218934911242604,359
