case_id,symbol,signal_date,entry_date,exit_time_utc,target_return_2x,profitable,log_f7c_share,rank_pct,log_cluster_amount,signal_open_close_return,return_1d,return_3d,return_7d,range_pct,close_location,volume_ratio_20d,distance_20d_high,volatility_7d,flow_change_cluster_share,positive_flow_days_7d,negative_flow_days_7d,flow_event_count_7d,listing_age_days
029-COOKIE-2026-02-15,COOKIE,2026-02-15,2026-02-16,2026-02-19T13:40:00+00:00,-0.16958283121744033,0,-5.688806261787118,0.023668639053254437,19.6699683106624,-0.07942583732057407,-0.07854406130268199,-0.020366598778004175,-0.025329280648429653,0.11028632025450702,0.1826923076923084,1.1105686048575565,-0.33883161512027493,0.039068588033034805,0.004377013993138089,6,0,27.0,45
032-FIGHT-2026-02-18,FIGHT,2026-02-18,2026-02-19,2026-02-26T17:05:00+00:00,-0.028190900391836415,0,-5.678675624774332,0.04142011834319527,22.331156561770598,0.042458100558659284,0.04229173316310253,-0.1488335722663886,-0.17266278185964024,0.12100786390627505,0.3978779840848808,0.43492594609645635,-0.6145310747801451,0.1042274313267144,0.003251026058106585,3,0,5.0,26
033-FLOCK-2026-02-18,FLOCK,2026-02-18,2026-02-19,2026-02-24T05:35:00+00:00,0.16423953314537798,1,-6.589257962962966,0.08875739644970414,19.841242140890813,-0.05547538880872227,-0.05547538880872227,-0.06714172604908952,-0.06343402225755168,0.13793691389599316,0.03213844252163122,0.8629694671763695,-0.24182754182754196,0.02679653271173514,0.0005853972806475952,5,2,18.0,48
034-AWE-2026-02-20,AWE,2026-02-20,2026-02-21,2026-02-22T01:40:00+00:00,-0.1676558761818847,0,-3.8003329617944743,0.011834319526627219,20.983422923433015,-0.07606824229143849,-0.07635737756219674,-0.3275233538391433,-0.37375344791003606,0.13411181882519463,0.3311345646437991,7.275101790133771,-0.45438580275441354,0.1427016076815545,0.021632333524047923,4,3,366.0,50
035-USUAL-2026-02-22,USUAL,2026-02-22,2026-02-23,2026-02-23T16:50:00+00:00,-0.16774831839211757,0,-6.175387124286809,0.05325443786982249,20.907701820914006,-0.03690807799442897,-0.0375782881002088,-0.10427461139896377,-0.08349900596421467,0.06725794530672569,0.32967032967032983,0.7542617182053,-0.2826763485477177,0.03852186723118727,0.0017242394599646586,3,2,8.0,52
037-NEWT-2026-02-24,NEWT,2026-02-24,2026-02-25,2026-02-28T08:30:00+00:00,0.27529495372297874,1,-5.855442923717,0.047337278106508875,20.361479545437053,0.0037470725995316645,0.002964118564742435,-0.06623093681917203,-0.12232081911262793,0.058145200584700296,0.7597765363128492,0.6910145826385579,-0.17682458386683741,0.02581440264102763,0.00251468598621837,4,0,11.0,54
036-ZKC-2026-02-25,ZKC,2026-02-25,2026-02-26,2026-03-08T03:00:00+00:00,-0.17276138966307042,0,-6.338499933692312,0.05917159763313609,20.745093899302315,0.05218446601941751,0.05218446601941751,0.008139534883720989,-0.07073954983922826,0.09013398294762465,0.6216216216216215,0.9161276711708871,-0.23544973544973546,0.0350352756045581,0.001712262722221686,3,0,4.0,55
038-CHILLGUY-2026-02-27,CHILLGUY,2026-02-27,2026-02-28,2026-03-06T16:00:00+00:00,0.01021712919339035,1,-5.62584543577151,0.03550295857988166,20.367879886658123,-0.04003906250000011,-0.03910068426197455,-0.0020304568527917954,-0.11361587015329122,0.08020833333333344,0.2987012987012994,1.2772214259795014,-0.23501945525291834,0.04542428872241967,0.005124788349669181,1,2,6.0,57
039-RIVER-2026-02-27,RIVER,2026-02-27,2026-02-28,2026-03-10T03:45:00+00:00,0.7020037031824914,1,-4.814670468534169,0.01775147928994083,10.505554357007787,0.014195161146326019,0.014195161146326019,0.3193960511033682,0.41381456129433714,0.16571541035229287,0.7114014251781468,0.7401532960722699,-0.528219610448939,0.07133046730651803,0.007589123125023743,2,0,3.0,57
040-FIGHT-2026-02-28,FIGHT,2026-02-28,2026-03-01,2026-03-02T07:10:00+00:00,-0.1661855848499172,0,-6.229497563257809,0.05917159763313609,22.331156561770598,-0.011575160331612766,-0.012347608627696127,-0.11942586399108135,-0.08100639906922635,0.10658509096763802,0.16314199395770346,0.36288491607483647,-0.2765884373211219,0.049572839090280624,0.002003096770244353,2,1,6.0,36
041-PARTI-2026-03-01,PARTI,2026-03-01,2026-03-02,2026-03-04T08:40:00+00:00,-0.1681040045683655,0,-6.066486843847323,0.0650887573964497,19.695074667929802,-0.05464824120603007,-0.05454926185739706,-0.0757420675537358,-0.17871759890859484,0.14093882704005511,0.25814332247557054,1.0904931594739795,-0.20858895705521463,0.024716237826427633,0.0023300022010238055,2,4,9.0,59
042-DOLO-2026-03-04,DOLO,2026-03-04,2026-03-05,2026-03-19T00:00:00+00:00,0.07397726907544477,1,-2.512884349047575,0.005917159763313609,18.630980000005895,-0.019292604501607524,-0.019292604501607524,-0.004746366063482443,-0.1100795755968168,0.05508729680915114,0.18032786885246133,0.5094756191933835,-0.21776637910934937,0.027551624295423537,0.08103376583111206,2,0,2.0,62
043-MAGIC-2026-03-04,MAGIC,2026-03-04,2026-03-05,2026-03-19T00:00:00+00:00,0.037303762076366986,1,-4.932267770097404,0.029585798816568046,18.766234658139858,0.014497528830313078,0.014497528830313078,0.02547876769358881,-0.041407222914072284,0.054566627848943616,0.4481707317073182,0.7394722313849866,-0.25039561777236763,0.02319768516952111,0.007147070607950741,4,0,13.0,62
045-ZETA-2026-03-08,ZETA,2026-03-08,2026-03-09,2026-03-23T00:00:00+00:00,0.014382321741303938,1,-5.90086267462129,0.05325443786982249,19.69344911537376,-0.009813739234929009,-0.009615384615384692,-0.046480231436837105,-0.06487611121619075,0.032837038547827824,0.25465838509316807,0.6562770139587634,-0.2326555952196182,0.042091319933053664,0.002800832562051079,3,2,12.0,66
044-AWE-2026-03-11,AWE,2026-03-11,2026-03-12,2026-03-26T00:00:00+00:00,-0.02313983036657885,0,-6.44531732626684,0.07100591715976332,20.983422923433015,0.017672756155679092,0.017672756155679092,0.04698672114402447,-0.0036936236391913457,0.04380724810832337,0.4681818181818163,0.7636303995723539,-0.20046801872074893,0.02568007623309095,0.0030646582453797994,1,6,115.0,69
046-SXT-2026-03-11,SXT,2026-03-11,2026-03-12,2026-03-14T05:05:00+00:00,-0.17031971808223711,0,-6.27868040795135,0.0650887573964497,21.83064931920418,-0.04613841524573725,-0.045659809332664336,0.12544378698224845,0.02922077922077926,0.06434599156118148,0.0491803278688505,4.347871509770787,-0.24523809523809526,0.05949629061080189,0.002148032015323947,1,3,40.0,69
047-SKL-2026-03-13,SKL,2026-03-13,2026-03-14,2026-03-26T18:05:00+00:00,-0.1351665898971286,0,-5.904876094012171,0.023668639053254437,22.008304522802298,-0.02108433734939763,-0.02108433734939763,-0.016641452344932084,0.014040561622464809,0.05084745762711851,0.030303030303029107,0.7398308709819961,-0.11202185792349728,0.02041906626580352,0.0027663988137437844,1,1,6.0,71
050-AIXBT-2026-03-18,AIXBT,2026-03-18,2026-03-19,2026-03-29T22:50:00+00:00,-0.17371555142457867,0,-6.272359526190626,0.0650887573964497,19.60540470253405,-0.06142693628386109,-0.06106870229007633,-0.0424289606850915,-0.08685968819599099,0.11627906976744184,0.18571428571428555,0.5995247722555983,-0.2531876138433514,0.05429367482180777,0.0009430011518646009,2,0,4.0,76
048-BARD-2026-03-19,BARD,2026-03-19,2026-03-20,2026-03-21T02:05:00+00:00,-0.1717254789060514,0,-5.395664351189126,0.03550295857988166,19.345522312442885,-0.1650597208231399,-0.16493955094991353,-0.4645131518227964,-0.48944033790918695,0.2984698469846985,0.14897466827503045,3.8395420844654344,-0.6584044745363555,0.12224986157347682,0.0045161522721739004,4,3,290.0,77
049-NIL-2026-03-19,NIL,2026-03-19,2026-03-20,2026-03-22T23:50:00+00:00,-0.12222895189808058,0,-4.588182856084807,0.011834319526627219,20.526699961102874,-0.06855700135948728,-0.06909937888198758,-0.16504178272980496,-0.027969193352249677,0.0868282402528977,0.12378640776699118,0.5290142187732645,-0.20424755267960837,0.053074630169159455,0.010185749405855937,2,1,6.0,77
051-SKL-2026-03-21,SKL,2026-03-21,2026-03-22,2026-03-28T01:20:00+00:00,-0.16785690256725716,0,-5.929609225708203,0.05917159763313609,22.008304522802298,-0.04153846153846141,-0.04153846153846141,-0.06033182503770729,-0.03410852713178292,0.05339805825242716,0.15151515151515302,0.5577248697034904,-0.1489071038251366,0.03034602998774755,0.0027663988137437844,2,3,10.0,79
052-PROM-2026-03-23,PROM,2026-03-23,2026-03-24,2026-03-27T07:40:00+00:00,-0.1693996904901065,0,-6.161927587593041,0.0650887573964497,15.71408345338948,-0.03637976929902387,-0.03637976929902387,0.012115563839701915,-0.027752909579230045,0.06704438149197345,0.38028169014084723,1.713116013027903,-0.1256038647342994,0.03632767909549018,0.0011243246411083733,2,0,6.0,81
054-RESOLV-2026-03-26,RESOLV,2026-03-26,2026-03-27,2026-03-28T21:10:00+00:00,-0.04508923841825441,0,-3.1652890579370565,0.011834319526627219,20.432900174506887,-0.07621459820400645,-0.07621459820400645,-0.21302471557473512,-0.33751651254953763,0.13683941792187881,0.17723880597014927,0.9557422001971484,-0.7104921345071439,0.03342859050455649,0.04423067431533664,1,3,41.0,84
055-PHA-2026-03-28,PHA,2026-03-28,2026-03-29,2026-04-12T00:00:00+00:00,0.3523348266260835,1,-4.9643284365023765,0.029585798816568046,20.234685976288038,0.048619447779111535,0.04893425397778439,-0.052859853618866914,-0.10616525965720136,0.09369369369369362,0.5256410256410247,0.49390320808801064,-0.21288578508673128,0.0379721963679943,0.028203469729338716,5,2,31.0,86
053-FLOCK-2026-03-29,FLOCK,2026-03-29,2026-03-30,2026-04-13T00:00:00+00:00,0.08274544029350217,1,-6.296495405235903,0.08875739644970414,19.841242140890813,-0.05313638979474389,-0.05313638979474389,-0.08116157855547279,-0.12155187755828434,0.07274969173859436,0.19774011299435,0.671960800354939,-0.26262324469674336,0.03033355862315169,0.0013222523733588628,3,3,16.0,87
056-SKL-2026-04-01,SKL,2026-04-01,2026-04-02,2026-04-03T15:20:00+00:00,-0.17282125790494773,0,-4.32061901453443,0.01775147928994083,22.008304522802298,-0.0069735006973501434,-0.00835654596100277,0.24912280701754375,0.10216718266253877,0.0709117221418234,0.42857142857142705,12.099258809762816,-0.037837837837837895,0.09359087450072942,0.013255136859803634,2,1,72.0,90
057-SXT-2026-04-02,SXT,2026-04-02,2026-04-03,2026-04-17T00:00:00+00:00,-0.028189444500021477,0,-5.277036442807249,0.029585798816568046,21.83064931920418,0.04556803995006242,0.046221111805121895,0.15278733654507914,0.006006006006005871,0.08043758043758031,0.9680000000000013,1.8835276153724296,-0.11656118143459915,0.04440212349609962,0.004956335805540442,3,1,7.0,91
