case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
21-GWEI-2026-03-10,v2,GWEI,新增样本外,2026-03-10,2026-03-11,0.051241,0.0006549285714285721,0.04714172,2026-03-13T18:35:00+00:00,0.04959075,2,保护止损,-0.03220565562732969,-0.03606910610386732,-0.07213821220773464,-0.08698112839327887,0.16295544583439026,0.16295544583439026,-0.19763473053892244,0.012685543999528372,0.025371087999056744,-0.09750930020679138,False,1.0,2
22-LAB-2026-03-11,v2,LAB,第二批20币,2026-03-11,2026-03-12,0.14677,0.001230000000000003,0.13502840000000002,2026-03-23T09:35:00+00:00,0.186125,2,多周期退出评分,0.2681406281937726,0.26307819055627224,0.5261563811125445,-0.021939088369557824,0.6011446480888463,0.6011446480888463,0.4460500963391139,0.36124031830051134,0.7224806366010227,-0.1963242554884782,False,1.0,2
23-BLUAI-2026-03-12,v2,BLUAI,第二批20币,2026-03-12,2026-03-13,0.007335,0.00010521428571428567,0.0067482,2026-03-15T09:20:00+00:00,0.00691375,2,V2弱趋势分层回撤,-0.05743012951601911,-0.061192883490007066,-0.12238576698001413,-0.07689161554192236,0.11111111111111094,0.5147920927062031,-0.11155985169491532,-0.1574329187568967,-0.3148658375137934,0.19248007053377925,False,1.0,2
24-VELVET-2026-03-17,v2,VELVET,样本内,2026-03-17,2026-03-18,0.07998,0.0004728571428571449,0.0735816,2026-03-22T08:30:00+00:00,0.0775675,2,V2弱趋势分层回撤,-0.030163790947736913,-0.03403539258068,-0.06807078516136,-0.041010252563140726,0.14741185296324089,0.14741185296324089,-0.20462256149279026,0.028635402363564936,0.05727080472712987,-0.12534158988848987,False,1.0,2
25-BLUAI-2026-03-20,v2,BLUAI,第二批20币,2026-03-20,2026-03-21,0.006298,5.428571428571443e-05,0.00579416,2026-03-23T22:15:00+00:00,0.007192,3,V2弱趋势分层回撤,0.14194982534137823,0.1373911434038877,0.2747822868077754,-0.025246109876151057,0.49110828834550646,0.7642108605906637,0.18574693538333684,0.1101899091623043,0.2203798183246086,0.054402468483166794,False,1.0,3
26-LIGHT-2026-03-20,v2,LIGHT,第二批20币,2026-03-20,2026-03-21,0.2245,0.003842857142857144,0.20654,2026-03-24T17:30:00+00:00,0.2484,2,V2峰值回撤30%紧急退出,0.10645879732739427,0.10204179614045839,0.20408359228091677,-0.062360801781737196,0.757238307349666,0.757238307349666,0.1405882352941177,-0.03904084925916544,-0.07808169851833088,0.2821652907992477,False,1.0,2
27-CYS-2026-03-21,v2,CYS,新增样本外,2026-03-21,2026-03-22,0.5711,0.004471428571428571,0.525412,2026-03-24T15:30:00+00:00,0.6283749999999999,4,保护止损,0.1002889161267726,0.095896545204111,0.191793090408222,-0.04430047277184401,0.34739975485904373,0.34739975485904373,0.28868447580645096,-0.048464443901550934,-0.09692888780310187,0.2887219782113239,False,1.0,4
28-AIA-2026-03-25,v2,AIA,第二批20币,2026-03-25,2026-03-26,0.09686,0.0007528571428571425,0.0891112,2026-03-27T11:35:00+00:00,0.0878,1,保护止损,-0.09353706380342763,-0.09715567831918237,-0.19431135663836474,-0.0970472847408631,0.07867024571546555,0.5242618211852157,-0.17841669948798744,0.2310765625470099,0.4621531250940198,-0.6564644817323846,False,1.0,1
29-ZBT-2026-03-25,v2,ZBT,第二批20币,2026-03-25,2026-03-26,0.07222,0.0002900000000000006,0.06644240000000001,2026-03-27T10:55:00+00:00,0.06635,1,保护止损,-0.08127942398227639,-0.08494697119192796,-0.1698939423838559,-0.08474106895596789,0.0019385211852671613,0.6442813625034614,-0.12615516870836027,0.09764989544588465,0.1952997908917693,-0.3651937332756252,False,1.0,1
30-ZBT-2026-03-31,v2,ZBT,第二批20币,2026-03-31,2026-04-01,0.09568,0.0014049999999999996,0.0880256,2026-04-03T09:30:00+00:00,0.09902749999999999,2,V2弱趋势分层回撤,0.03498641304347805,0.030854730755879578,0.061709461511759156,-0.05915551839464883,0.22104933110367897,0.26943979933110374,0.12984871993793556,-0.001701863830866787,-0.003403727661733574,0.06511318917349274,False,1.0,2
31-SAFE-2026-04-01,v2,SAFE,第二批20币,2026-04-01,2026-04-02,0.1033,0.0008714285714285716,0.09503600000000001,2026-04-06T12:15:00+00:00,0.11665,2,V2弱趋势分层回撤,0.12923523717328167,0.12472731207478549,0.24945462414957098,-0.06485963213939983,0.3639883833494675,0.5217812197483058,0.24768089053803335,0.10110466385718396,0.20220932771436792,0.04724529643520306,False,1.0,2
